Stop #,Station Name,Stop Name,Avg Delay @ Arrival,Avg Delay @ Departure
3383,Lake Rd and Bracken,443 Lake Rd,-0.023300000000000053,0.726125
3387,Lake Rd and Harley,373 Lake Rd,-3.3860000000000006,0.3272727272727271
3389,Lake Rd and Hauraki,296 Lake Rd,11.9,6.2835
3391,Lake Rd and Hororata,293 Lake Rd,-2.560375,-1.2294615384615382
3393,Lake Rd and Eversleigh,257 Lake Rd,-0.13679999999999973,0.5863636363636363
3395,Lake Rd and Winscombe,191 Lake Rd,2.785714285714286,1.3646
3397,Lake Rd and Corrella Rd,163 Lake Rd,4.1139600000000005,2.7260399999999994
3399,Lake Rd Bayswater and Montgomery,109 Lake Rd Bayswater,5.105076923076923,4.312178571428572
3405,Victoria Rd and Ewen Alison,159 Victoria Rd,11.517,0
3407,Victoria Rd and Hastings,141 Victoria Rd,0.417,0
3416,Lake Rd and Cameron,366 Lake Rd,2.7,3.425
3418,Lake Rd and Hauraki,319 Lake Rd,-1.198,-2.5008421052631578
3420,Lake Rd and Hororata,226 Lake Rd,,
3422,Lake Rd and Eversleigh,Opp 253 Lake Rd,8.591750000000001,7.475
3424,Lake Rd near Westwell,174 Lake Rd,,8.555666666666667
3426,Lake Rd Bayswater and Montgomery,116 Lake Rd,4.916666666666667,5.327285714285714
3434,Victoria Rd and Ewen Alison,100 Victoria Rd,,-1.4668
3436,Victoria Rd and Hastings,88 Victoria Rd,-1.0298,-5.6083750000000006
3447,Lake Rd and Cameron,397 Lake Rd,0.0257272727272728,-3.1848181818181818
3449,Victoria Rd and Fleet,81 Victoria Rd,,13.567
3461,Vauxhall Rd and Morrison,151 Vauxhall Rd,,0
3462,Devonport Wharf Entrance,Devonport by Wharf Entrance,0.5156021505376344,-0.19626086956521735
3463,Vauxhall Rd and Turnbull,175 Vauxhall Rd,8.0165,0
3465,Vauxhall Rd and Albert,87 Albert Rd,4.9835,4.925000000000001
3467,Albert Rd and Church,51 Albert Rd,11.283,0
3469,Albert Rd and Lake,27 Albert Rd,0,
3478,Vauxhall Rd and Tanui,64 Vauxhall Rd,-3.166666666666667,-3.5894545454545455
3481,Old Lake Rd and Lake,91 Old Lake Rd,5.048400000000001,5.132719999999999
3483,Old Lake Rd and Wicklow,59 Old Lake Rd,4.949999999999999,4.133
3487,Old Lake Rd and Merani,35 Old Lake Rd,,
3488,Lake Rd and Williamson,152 Lake Rd,6.839272727272728,5.2000909090909095
3489,Old Lake Rd By Woodall Park,Old Lake Rd by Woodall Park,0,
3490,Victoria Rd and Fleet,10 Victoria Rd,,-3.7934000000000005
3494,Vauxhall Rd and Ascot,124 Vauxhall Rd,-0.9332999999999998,-2.95425
3496,Vauxhall Rd and Morrison,Opp 145 Vauxhall Rd,-1.4963333333333333,-2.06675
3498,Vauxhall Rd and Turnbull,130 Vauxhall Rd,0.3375,-1.0250000000000001
3500,Albert Rd and Cambria,58 Albert Rd,-3.5083333333333333,-3.2366
3502,Albert Rd and Church,26 Albert Rd,-5.691625,-4.1734
3512,Old Lake Rd and Lake,58 Old Lake Rd,4.861538461538462,
3514,Old Lake Rd and Wicklow,36 Old Lake Rd,4.290000000000001,4.125249999999999
3516,Old Lake Rd and Hemi,22 Old Lake Rd,1.5785714285714285,3.7535999999999996
3518,Old Lake Rd and Merani,14 Old Lake Rd,0.7666666666666666,2.1971666666666665
3520,Old Lake Rd and Seabreeze,Old Lake Rd opp Seabreeze Rd,0.4901,0.8224782608695653
3551,Takapuna Transport Centre,Takapuna Platform 1,15.729947368421055,-0.06538461538461539
3568,Takapuna Transport Centre,Takapuna Platform 2,2.953383177570095,0
3652,Lake Road near Takapuna Grammar,Lake Rd outside Takapuna Grammar,6.972333333333334,8.290571428571427